global_index,file_name,chunk_index,STOI (L),STOI (R),ESTOI (L),ESTOI (R),PESQ (L),PESQ (R),PESQ-NB (L),PESQ-NB (R),SegSNR (L),SegSNR (R),fwSegSNR (L),fwSegSNR (R),SI-SDR (L),SI-SDR (R),SDR (L),SDR (R),ISR (L),ISR (R),SAR (L),SAR (R)
1669,D807__S2__M20_00_000,20,0.1376243665409013,0.1376243665409013,0.1800946039305722,0.18009460393057308,1.2381314039230347,1.2381314039230347,2.0249686241149902,2.0249686241149902,0.09934177129872611,0.09934177129872611,6.19341432218832,6.19341432218832,-25.571830581538695,-25.571830581538695,0.011372278333189538,0.011372278333189538,0.01830015880507777,0.01830015880507777,-16.106305469408355,-16.106305469408355
1676,D807__S2__M21_00_000,3,0.24267587329308563,0.24267587329308563,0.17711564121793472,0.17711564121793438,1.0822781324386597,1.0822781324386597,1.1044737100601196,1.1044737100601196,-0.5923365932542084,-0.5923365932542084,6.260681829280983,6.260681829280983,-26.316314554034985,-26.316314554034985,-0.19956412226172035,-0.19956412226172035,-0.08538212659855907,-0.08538212659855907,-9.472902655823646,-9.472902655823646
1685,D807__S2__M21_00_000,12,0.48096726346447577,0.48096726346447577,0.3576787202139262,0.35767872021392577,1.1163344383239746,1.1163344383239746,1.6727396249771118,1.6727396249771118,-0.03399104283182439,-0.03399104283182439,4.610919003810274,4.610919003810274,-46.952604676561705,-46.952604676561705,-0.012535365273830118,-0.012535365273830118,-0.0031524569837506054,-0.0031524569837506054,-2.3804593259005973,-2.3804593259005973
1710,D807__S2__M23_00_000,2,-0.015483827575858136,-0.015483827575858136,0.14435291805767195,0.14435291805767195,1.138738989830017,1.138738989830017,1.7707390785217285,1.7707390785217285,-0.5369222362805037,-0.5369222362805037,5.042186197909302,5.042186197909302,-27.664866743298123,-27.664866743298123,-0.04264492793174131,-0.04264492793174131,-0.024531291454476557,-0.024531291454476557,-13.530659037959424,-13.530659037959424
1724,D807__S2__M23_00_000,16,0.351459595055022,0.351459595055022,0.2473476890678951,0.24734768906789492,1.0448718070983887,1.0448718070983887,2.3282134532928467,2.3282134532928467,-1.702781432630051,-1.702781432630051,7.3505316988040725,7.3505316988040725,-56.130760569899905,-56.130760569899905,-0.42944414890687854,-0.42944414890687854,-0.0016675235750060024,-0.0016675235750060024,-18.704126381648322,-18.704126381648322
1769,Dfaraday__S1__M00_00_000,3,0.4178230501905498,0.4178230501905498,0.25888559301399383,0.2588855930139937,1.0432720184326172,1.0432720184326172,0.7772216796875,0.7772216796875,-0.7737082048417355,-0.7737082048417355,6.5278444586623605,6.5278444586623605,-39.42074037793085,-39.42074037793085,-0.3624059110698629,-0.3624059110698629,0.01833518526377219,0.01833518526377219,-15.935152447020403,-15.935152447020403
1786,Dfaraday__S1__M03_00_000,2,0.5230048607220908,0.5230048607220908,0.3165677780818418,0.3165677780818418,1.1083097457885742,1.1083097457885742,1.9223443269729614,1.9223443269729614,-0.2351118506422553,-0.2351118506422553,6.24103210226282,6.24103210226282,-23.75851847038611,-23.75851847038611,0.015741417655879938,0.015741417655879938,0.0396641617619338,0.0396641617619338,-3.5983866537693943,-3.5983866537693943
1794,Dfaraday__S1__M05_00_000,5,0.42630603967549613,0.42630603967549613,0.26758513117060906,0.2675851311706079,1.1508362293243408,1.1508362293243408,2.178455352783203,2.178455352783203,-0.6898268252468194,-0.6898268252468194,6.578444952753885,6.578444952753885,-18.755716978933805,-18.755716978933805,0.05158085530699062,0.05158085530699062,0.07165583431238956,0.07165583431238956,-4.709596343529087,-4.709596343529087
1803,Dfaraday__S1__M06_00_000,7,0.5704595976067797,0.5704595976067797,0.359404289803765,0.359404289803765,1.1480644941329956,1.1480644941329956,1.7237114906311035,1.7237114906311035,-0.28597777435343974,-0.28597777435343974,5.478538159004657,5.478538159004657,-22.336958513032354,-22.336958513032354,0.025224662567853072,0.025224662567853072,0.04124089753163368,0.04124089753163368,-1.29897634059985,-1.29897634059985
1805,Dfaraday__S1__M06_00_000,9,0.5373344677283659,0.5373344677283659,0.3408084174183593,0.3408084174183594,1.025133490562439,1.025133490562439,0.6250795722007751,0.6250795722007751,-2.554062148351926,-2.554062148351926,6.941414767890026,6.941414767890026,-26.500987616336534,-26.500987616336534,-0.15630868968189404,-0.15630868968189404,0.09021373626262769,0.09021373626262769,-13.518355041285657,-13.518355041285657
